timestamp_s,d0_x,d0_y,d0_z,d1_x,d1_y,d1_z,d2_x,d2_y,d2_z,d0_dist_gnb_m,d0_rsrp_dbm,d1_dist_gnb_m,d1_rsrp_dbm,d2_dist_gnb_m,d2_rsrp_dbm,d0_d1_dist_m,d0_d1_rsrp_pair_dbm,d0_d1_latency_ms,d0_d2_dist_m,d0_d2_rsrp_pair_dbm,d0_d2_latency_ms,d1_d2_dist_m,d1_d2_rsrp_pair_dbm,d1_d2_latency_ms
0.000,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,3.000,-35.1,1.000,6.000,-46.7,1.000,3.000,-46.7,5.968
0.501,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
1.002,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
1.503,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
2.004,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
2.505,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
3.006,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
3.507,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
4.008,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
4.509,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
5.010,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
5.511,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
6.012,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
6.513,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
7.014,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
7.515,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
8.016,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
8.520,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
9.021,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
9.522,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
10.023,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
10.524,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
11.025,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
11.526,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
12.027,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
12.528,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
13.029,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
13.533,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
14.034,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
14.535,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
15.036,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
15.537,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
16.038,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
16.540,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
17.041,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
17.543,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
18.044,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
18.548,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
19.049,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
19.550,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
20.051,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
21.117,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
21.619,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
22.120,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
22.622,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
23.123,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
23.624,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
24.126,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
24.627,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
25.128,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
25.630,0.000,-2.996,0.190,0.000,0.000,0.190,0.000,2.996,0.190,20.045,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
26.131,0.000,-2.996,0.210,0.000,0.000,0.190,0.000,2.996,0.190,20.042,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
26.632,0.000,-2.996,0.400,0.000,0.000,0.190,0.000,2.996,0.190,20.016,-35.8,18.245,-35.1,16.792,-34.5,2.996,-35.8,1.000,5.992,-47.8,1.000,2.996,-47.8,5.671
27.134,0.000,-2.996,0.820,0.000,0.000,0.200,0.000,2.996,0.190,19.966,-35.8,18.244,-35.1,16.792,-34.5,3.003,-35.8,1.000,5.995,-47.8,1.000,2.996,-47.8,5.671
27.635,0.000,-2.996,1.520,0.000,0.000,0.250,0.000,2.996,0.190,19.902,-35.8,18.236,-35.1,16.792,-34.5,3.059,-35.8,1.000,6.025,-47.8,1.000,2.996,-47.8,5.671
28.136,0.000,-2.996,2.460,0.000,0.000,0.370,0.000,2.996,0.190,19.854,-35.7,18.219,-35.1,16.792,-34.5,3.254,-35.8,1.000,6.137,-47.8,1.000,2.996,-47.8,5.671
28.638,0.000,-2.996,3.310,0.000,0.000,0.530,0.000,2.996,0.190,19.849,-35.7,18.196,-35.1,16.792,-34.5,3.653,-35.7,1.000,6.407,-47.8,1.000,3.001,-47.8,5.671
29.139,0.000,-2.996,4.060,0.000,0.000,1.060,0.000,2.996,0.190,19.875,-35.7,18.132,-35.1,16.792,-34.5,4.087,-35.7,1.000,6.755,-47.8,1.000,3.015,-47.8,5.671
29.641,0.000,-2.996,4.180,0.000,0.000,1.870,0.000,2.996,0.190,19.882,-35.7,18.063,-35.0,16.792,-34.5,4.240,-35.7,1.000,7.133,-47.8,1.000,3.120,-47.8,5.671
30.142,0.000,-2.996,4.230,0.000,0.000,2.920,0.000,2.996,0.190,19.885,-35.7,18.028,-35.0,16.792,-34.5,3.783,-35.7,1.000,7.199,-47.8,1.000,3.435,-47.8,5.671
30.644,0.000,-2.996,4.220,0.000,0.000,3.910,0.000,2.996,0.190,19.884,-35.7,18.051,-35.0,16.792,-34.5,3.270,-35.7,1.000,7.226,-47.8,1.000,4.053,-47.8,5.671
31.146,0.000,-2.996,4.210,0.000,0.000,4.870,0.000,2.996,0.290,19.884,-35.7,18.124,-35.0,16.775,-34.5,3.012,-35.7,1.000,7.221,-47.8,1.000,4.776,-47.8,5.671
31.647,0.000,-2.996,4.190,0.000,0.000,5.050,0.000,2.996,0.610,19.882,-35.7,18.144,-35.1,16.726,-34.4,3.068,-35.7,1.000,7.160,-47.8,1.000,5.473,-47.8,5.671
32.149,0.000,-2.996,4.180,0.000,0.000,5.170,0.000,2.996,1.180,19.882,-35.7,18.158,-35.1,16.654,-34.4,3.117,-35.7,1.000,6.980,-47.7,1.000,5.356,-47.7,5.671
32.650,0.000,-2.996,4.180,0.000,0.000,5.230,0.000,2.996,2.040,19.882,-35.7,18.165,-35.1,16.583,-34.4,3.155,-35.7,1.000,6.701,-47.6,1.000,4.989,-47.6,5.671
33.152,0.000,-2.996,4.180,0.000,0.000,5.230,0.000,3.005,3.140,19.882,-35.7,18.165,-35.1,16.551,-34.4,3.174,-35.7,1.000,6.362,-47.6,1.000,4.376,-47.6,5.671
33.653,0.000,-2.996,4.180,0.000,0.000,5.210,0.000,2.996,4.290,19.882,-35.7,18.163,-35.1,16.605,-34.4,3.174,-35.7,1.000,6.090,-47.5,1.000,3.660,-47.5,5.671
34.155,0.000,-2.996,4.180,0.000,0.000,5.190,0.000,2.996,5.180,19.882,-35.7,18.160,-35.1,16.698,-34.4,3.168,-35.7,1.000,5.993,-47.6,1.000,3.134,-47.6,5.671
34.656,0.000,-2.996,4.190,0.000,0.000,5.180,0.000,2.996,5.960,19.882,-35.7,18.159,-35.1,16.817,-34.5,3.161,-35.7,1.000,6.074,-47.7,1.000,2.996,-47.7,5.671
35.158,0.000,-2.996,4.190,0.000,0.000,5.180,0.000,2.996,5.960,19.882,-35.7,18.159,-35.1,16.817,-34.5,3.155,-35.7,1.000,6.248,-47.8,1.000,3.096,-47.8,5.671
35.660,0.000,-2.996,4.190,0.000,0.000,5.180,0.000,2.996,5.960,19.882,-35.7,18.159,-35.1,16.817,-34.5,3.155,-35.7,1.000,6.248,-47.8,1.000,3.096,-47.8,5.671
36.161,0.000,-2.996,4.190,0.000,0.000,5.180,0.000,2.996,5.960,19.882,-35.7,18.159,-35.1,16.817,-34.5,3.155,-35.7,1.000,6.248,-47.8,1.000,3.096,-47.8,5.671
36.663,0.000,-2.996,4.190,0.000,0.000,5.180,0.000,2.996,5.960,19.882,-35.7,18.159,-35.1,16.817,-34.5,3.155,-35.7,1.000,6.248,-47.8,1.000,3.096,-47.8,5.671
37.165,0.000,-2.996,4.190,0.000,0.000,5.180,0.000,2.996,5.960,19.882,-35.7,18.159,-35.1,16.817,-34.5,3.155,-35.7,1.000,6.248,-47.8,1.000,3.096,-47.8,5.671
37.666,0.000,-2.996,4.190,0.000,0.000,5.190,0.000,2.996,5.960,19.882,-35.7,18.160,-35.1,16.817,-34.5,3.155,-35.7,1.000,6.248,-47.8,1.000,3.096,-47.8,5.671
38.168,0.000,-2.996,4.190,0.000,0.000,5.190,0.000,2.996,5.960,19.882,-35.7,18.160,-35.1,16.817,-34.5,3.158,-35.7,1.000,6.248,-47.8,1.000,3.093,-47.8,5.671
38.670,0.000,-2.996,4.180,0.000,0.000,5.190,0.000,2.996,5.960,19.882,-35.7,18.160,-35.1,16.817,-34.5,3.158,-35.7,1.000,6.248,-47.8,1.000,3.093,-47.8,5.671
39.171,0.000,-2.996,4.180,0.000,0.000,5.190,0.000,2.996,5.960,19.882,-35.7,18.160,-35.1,16.817,-34.5,3.161,-35.7,1.000,6.250,-47.8,1.000,3.093,-47.8,5.671
